"Integration Node (broker)","Ver","integration node UUID (broker UUID)","Integration server (ex.grp)","message flow","StartDate","StartTime","EndDate","EndTime","Tot.msgs","Tot.Elapse","max.elapse","min.elapse","total.cp","max.cp","min.cp","cp.wait","elapse.wait","total.msgsize","max.msgsize","min.msgsize"
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:45,2019-04-25,17:46,4375,79.840849,0.072400,0.008628,18.225262,0.014582,0.002491,1.032594,1824.656640,8442316,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:45,2019-04-25,17:46,5584,50.998665,0.096715,0.005503,23.386178,0.007051,0.003051,5.853760,2355.106600,2322944,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:45,2019-04-25,17:46,3161,31.855816,0.089169,0.005419,12.996326,0.006725,0.003030,0.516296,205.721733,1314976,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:45,2019-04-25,17:46,7322,419.619339,0.394298,0.012917,24.649499,0.005944,0.002563,0.578745,1733.891568,15333292,2095,2093
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:46,2019-04-25,17:47,4222,90.541132,0.196314,0.008484,13.999612,0.012498,0.001789,0.490582,330.413772,59525248,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:46,2019-04-25,17:47,4283,83.573925,0.202879,0.008419,17.941374,0.015770,0.002537,1.064800,1863.399930,8281055,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:46,2019-04-25,17:47,5437,52.682058,0.135747,0.005535,22.905185,0.006769,0.003062,5.663269,2344.247557,2261792,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:46,2019-04-25,17:47,3011,30.499580,0.104387,0.005470,12.413993,0.006654,0.002836,0.515302,208.326958,1252576,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:46,2019-04-25,17:47,7470,432.470336,6.132699,0.012567,26.919926,2.102307,0.002525,0.592933,1723.597977,15643108,2095,1889
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:47,2019-04-25,17:48,4105,94.897654,0.343125,0.007575,13.741625,0.015255,0.001889,0.456432,321.763902,60064342,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:47,2019-04-25,17:48,4499,83.659232,0.205424,0.008708,18.667069,0.013611,0.002435,1.023973,1818.457192,8671504,2073,1867
