DATE,TIME,TYPE,CLASS,TRAN_MPL,TRAN_NUM,TRAN_TPS,TRAN_ACT,TRAN_EXE,DASD_SSCHRT,DASD_RESP,CP,AAPCP,IIPCP,AAP,IIP,STOR_AVG,STOR_TOT,STOR_SHR
2019/04/25,17:39:00,REPORT,OMVS,4.00,0,0.00,0.000,0.000,0.0,0.0,0.02%,0.00%,0.00%,N/A%,0.00%,28735.63,114939.5,1.00
2019/04/25,17:39:00,REPORT,RRS,2.00,0,0.00,0.000,0.000,0.0,0.0,0.23%,0.00%,0.00%,N/A%,0.00%,3999.48,7998.76,0.00
2019/04/25,17:39:00,REPORT,SAAMA1,1.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,11828.05,11827.71,0.00
2019/04/25,17:39:00,REPORT,SAAMA2,1.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,9925.04,9924.81,0.00
2019/04/25,17:39:00,REPORT,SAAMF1,1.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,N/A%,9878.06,9877.79,0.00
2019/04/25,17:39:00,REPORT,SAAMF2,1.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,N/A%,9879.04,9878.79,0.00
2019/04/25,17:39:00,REPORT,TCPIPGY1,2.00,0,0.00,0.000,0.000,0.0,0.0,1.43%,0.00%,0.00%,N/A%,0.00%,11435.18,22869.77,0.00
2019/04/25,17:39:00,REPORT,TCPIPGY2,1.00,0,0.00,0.000,0.000,0.0,0.0,0.02%,0.00%,0.00%,N/A%,0.00%,7093.65,7093.44,0.00
2019/04/25,17:39:00,REPORT,TCPIPMG1,4.00,0,0.00,0.000,0.000,0.0,0.0,0.08%,0.00%,0.00%,N/A%,0.00%,7394.30,29576.43,0.00
2019/04/25,17:39:00,REPORT,TCPIPMG2,1.00,0,0.00,0.000,0.000,0.0,0.0,0.02%,0.00%,0.00%,N/A%,0.00%,7232.03,7231.82,0.00
2019/04/25,17:39:00,REPORT,TSO,0.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,0.00,0.00,0.00
2019/04/25,17:39:00,REPORT,WAS_BT1,0.05,2399,4.00,0.013,0.011,1.3,0.4,0.65%,0.00%,0.01%,N/A%,0.66%,0.00,0.00,0.00
2019/04/25,17:39:00,REPORT,WAS_OL1,1.45,24600,41.00,0.052,0.035,0.3,0.3,8.48%,0.00%,0.04%,N/A%,7.74%,0.00,0.00,0.00
2019/04/25,17:39:00,REPORT,WAS_OL2,1.52,24600,41.00,0.057,0.037,0.3,0.2,8.49%,0.00%,0.07%,N/A%,7.76%,0.00,0.00,0.00
2019/04/25,17:39:00,REPORT,WAS_OL3,0.52,8397,14.00,0.037,0.036,0.2,0.3,3.92%,0.00%,0.07%,N/A%,5.39%,0.00,0.00,0.00
2019/04/25,17:39:00,REPORT,WAS_OL5,0.00,10,0.02,0.045,0.045,0.0,0.0,0.01%,0.00%,0.00%,N/A%,0.01%,0.00,0.00,0.00
2019/04/25,17:39:00,REPORT,WAS_OL6,1.86,26400,44.00,0.067,0.042,0.5,0.3,13.11%,0.00%,0.18%,N/A%,11.24%,0.00,0.00,0.00
2019/04/25,17:39:00,REPORT,WAS_OTH,0.00,10,0.02,0.007,0.007,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,0.00,0.00,0.00
2019/04/25,17:39:00,REPORT,ZFS,4.00,0,0.00,0.000,0.000,2.1,0.2,0.06%,0.00%,0.00%,N/A%,0.00%,181914.5,727639.1,5.00

