"date","time","volser","usage","sys","rate","resp","iosq","pend","disc","conn","lcu"
2019/04/25,17:39:00,"YDOC13","","F1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC13","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC13","","A*",0.034,0.244,0.000,0.135,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDOC13","","F*",0.034,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC14","","*ALL",0.067,0.224,0.000,0.125,0.000,0.099,"016F"
2019/04/25,17:39:00,"YDOC14","","A1",0.017,0.243,0.000,0.141,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC14","","A2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC14","","F1",0.017,0.205,0.000,0.115,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDOC14","","F2",0.017,0.218,0.000,0.115,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC14","","A*",0.034,0.237,0.000,0.135,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC14","","F*",0.034,0.212,0.000,0.115,0.000,0.096,"016F"
2019/04/25,17:39:00,"YDOC15","","*ALL",0.067,0.224,0.000,0.125,0.000,0.099,"016F"
2019/04/25,17:39:00,"YDOC15","","A1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC15","","A2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC15","","F1",0.017,0.205,0.000,0.115,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDOC15","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC15","","A*",0.034,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC15","","F*",0.034,0.218,0.000,0.122,0.000,0.096,"016F"
2019/04/25,17:39:00,"YSLG01","","*ALL",19.303,0.872,0.345,0.118,0.257,0.152,"016F"
2019/04/25,17:39:00,"YSLG01","","A1",0.017,0.218,0.000,0.115,0.000,0.102,"016F"
2019/04/25,17:39:00,"YSLG01","","A2",0.017,0.243,0.000,0.141,0.000,0.102,"016F"
2019/04/25,17:39:00,"YSLG01","","F1",19.253,0.874,0.346,0.118,0.258,0.152,"016F"
2019/04/25,17:39:00,"YSLG01","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YSLG01","","A*",0.034,0.231,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YSLG01","","F*",19.270,0.873,0.346,0.118,0.258,0.152,"016F"
