"DATE","TIME","SYSID","SG","DNUM","DTYPE","CYL","VOLSER","PAV","H","LCU","RATE","RESP","IOSQ","CMR","DB","INT","PEND","DISC","CONN","%CONN","%UTIL","%RESV","#ALLOC","%ALLOC"
"19/04/25","17:39:00","A1","","8F9A","33909",10017,"1.0H",,"","0171",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8F9B","33909",10017,"1.0H",,"","0171",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8FAC","33909",10017,"1.0H",,"","0171",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8FB0","33909",10017,"1.0H",,"","0171",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","","",,"LCU",,"","0171",0.023,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C092","33909",10017,"YCDS01",1.0,"H","019E",2.515,.623,.000,.000,.014,.000,.131,.003,.488,0.12,0.12,0.0,14.0,100.0
"19/04/25","17:39:00","A1","","C093","33909",10017,"TMP001",1.0,"H","019E",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C094","33909",10017,"YDSA1A",1.0,"H","019E",1.450,.637,.000,.000,.000,.000,.092,.316,.229,0.03,0.08,0.0,22.0,100.0
"19/04/25","17:39:00","A1","","C095","33909",10017,"YDSA1B",1.0,"H","019E",0.842,.675,.000,.000,.000,.000,.100,.391,.184,0.02,0.05,0.0,2.0,100.0
"19/04/25","17:39:00","A1","SGLOGRA1","C096","33909",10017,"YLGR11",1.2,"H","019E",405.883,.863,.000,.000,.366,.000,.434,.280,.149,5.21,14.98,0.0,4.0,100.0
"19/04/25","17:39:00","A1","","C097","33909",10017,"YSYZ2A",1.0,"H","019E",0.107,.278,.000,.000,.000,.000,.104,.000,.174,0.00,0.00,0.0,73.0,100.0
"19/04/25","17:39:00","A1","","C098","33909",10017,"YSYZ2B",1.0,"H","019E",0.030,.142,.000,.000,.000,.000,.078,.000,.064,0.00,0.00,0.0,60.0,100.0
"19/04/25","17:39:00","A1","","C099","33909",10017,"YSYZ2C",1.0,"H","019E",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,1.0,100.0
"19/04/25","17:39:00","A1","","C09A","33909",10017,"YSYZ2D",1.0,"H","019E",0.033,.282,.000,.000,.000,.000,.096,.000,.186,0.00,0.00,0.0,45.0,100.0
"19/04/25","17:39:00","A1","","C09B","33909",10017,"YSYZ2E",1.0,"H","019E",3.625,.221,.000,.000,.000,.000,.079,.000,.143,0.05,0.05,0.0,110,100.0
"19/04/25","17:39:00","A1","","C09C","33909",10017,"YMQL11",1.0,"H","019E",366.990,.506,.000,.000,.000,.000,.068,.254,.184,6.76,16.09,0.0,6.0,100.0
"19/04/25","17:39:00","A1","","C09D","33909",10017,"YMQL12",1.0,"H","019E",360.231,.505,.000,.000,.000,.000,.067,.259,.179,6.45,15.78,0.0,6.0,100.0
"19/04/25","17:39:00","A1","","C09E","33909",10017,"YMQL13",1.0,"H","019E",373.683,.523,.000,.000,.000,.000,.068,.261,.193,7.22,16.97,0.0,2.0,100.0
"19/04/25","17:39:00","A1","","C09F","33909",10017,"YMQL14",1.0,"H","019E",368.681,.515,.000,.000,.000,.000,.068,.265,.182,6.70,16.49,0.0,2.0,100.0
"19/04/25","17:39:00","A1","","C0A0","33909",10017,"YMQP11",1.0,"H","019E",0.033,1.06,.000,.000,.000,.000,.058,.666,.339,0.00,0.00,0.0,23.0,100.0
"19/04/25","17:39:00","A1","","C0A1","33909",10017,"YWAS11",1.0,"H","019E",0.177,.510,.000,.000,.000,.000,.069,.268,.173,0.00,0.01,0.0,3.0,100.0
"19/04/25","17:39:00","A1","","C0A2","33909",10017,"YDBL01",1.0,"H","019E",473.972,.535,.000,.000,.000,.000,.069,.262,.205,9.69,22.11,0.0,3.0,100.0
"19/04/25","17:39:00","A1","","C0A3","33909",10017,"YDBL02",1.0,"H","019E",409.215,.528,.000,.000,.000,.000,.070,.244,.214,8.77,18.75,0.0,3.0,100.0
"19/04/25","17:39:00","A1","","C0A4","33909",10017,"YDBL06",1.0,"H","019E",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C0A5","33909",10017,"YDBL05",1.0,"H","019E",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","ARCASG","C0A6","33909",10017,"YDBA01",1.0,"H","019E",11.782,1.33,.000,.000,.000,.000,.072,.476,.785,0.93,1.49,0.0,0.0,100.0
"19/04/25","17:39:00","A1","ARCASG","C0A7","33909",10017,"YDBA02",1.0,"H","019E",11.702,1.21,.000,.000,.000,.000,.070,.403,.738,0.86,1.34,0.0,0.0,100.0
"19/04/25","17:39:00","A1","ARCASG","C0A8","33909",10017,"YDBA03",1.0,"H","019E",11.782,1.21,.000,.000,.000,.000,.071,.397,.742,0.87,1.34,0.0,0.0,100.0
"19/04/25","17:39:00","A1","ARCASG","C0A9","33909",10017,"YDBA04",1.0,"H","019E",0.097,.702,.000,.000,.000,.000,.079,.223,.399,0.00,0.01,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C0AA","33909",10017,"YDBU01",1.0,"H","019E",0.700,.153,.000,.000,.000,.000,.077,.004,.071,0.00,0.01,0.0,3.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C0AB","33909",10017,"YDBU02",1.0,"H","019E",0.017,.192,.000,.000,.000,.000,.115,.000,.077,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C0AC","33909",10017,"YDBU03",1.0,"H","019E",0.390,19.2,.000,.007,.000,.000,.120,12.5,6.59,0.25,0.73,0.0,3.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C0AD","33909",10017,"YDBU04",1.0,"H","019E",0.045,.346,.000,.000,.000,.000,.081,.095,.171,0.00,0.00,0.0,2.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C0AE","33909",10017,"YDBU05",1.0,"H","019E",0.077,.587,.000,.003,.000,.000,.089,.200,.298,0.00,0.00,0.0,1.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C0AF","33909",10017,"YDBU06",1.0,"H","019E",1.200,2.40,.000,.001,.000,.000,.083,1.51,.806,0.10,0.28,0.0,1.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C0B0","33909",10017,"YDBU07",1.0,"H","019E",5.748,2.82,.000,.001,.000,.000,.092,1.68,1.05,0.59,1.53,0.0,2.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C0B1","33909",10017,"YDBU08",1.0,"H","019E",121.411,.724,.000,.000,.000,.000,.069,.405,.250,3.01,7.89,0.0,2.0,100.0
